p,umbral,flat_corr,av_corr,mean_corr,aciertos,aciertos_pct,desaciertos,desaciertos_pct
0.5,0.0,0.017267546440810626,0.5883518323983903,0.2819377270166851,10909.0,0.023756326164406233,218693.0,0.47624367383559374
0.5,1.0,0.02372995292008302,0.6061054448375186,0.5656527397393314,6831.0,0.025525570411114515,126976.0,0.47447442958888547
0.5,2.0,0.05118046978457272,0.7431565726868236,0.6841611146721571,5843.0,0.030680290683021087,89381.0,0.4693197093169789
0.5,3.0,0.08856065757375325,0.8664945730096276,0.8227667385350504,4329.0,0.04383264818452441,45052.0,0.4561673518154756
0.5,4.0,0.10178271764755492,0.9233428444302988,0.9058232814715537,2529.0,0.06283229813664597,17596.0,0.437167701863354
0.5,5.0,0.09149673332683522,0.9312257515104939,0.940388089272187,1163.0,0.08658427635497319,5553.0,0.4134157236450268
0.5,6.0,0.06081395586864077,0.8980917457283485,0.95140467079748,370.0,0.10712217718587146,1357.0,0.39287782281412853
0.5,7.0,0.03453242093482032,0.809046435729241,0.9539556746887322,97.0,0.12340966921119594,296.0,0.37659033078880405
0.5,8.0,0.016572869542953554,0.7323552377994959,0.9544412718761532,23.0,0.12105263157894737,72.0,0.37894736842105264
0.5,9.0,0.012191794776349123,0.6223105027848722,0.9545740017740484,8.0,0.16666666666666666,16.0,0.3333333333333333
0.5,10.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.5,11.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.5,12.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.75,0.0,0.013430919572725854,0.4938079805782944,0.07785094108734922,13697.0,0.02296458990007377,284523.0,0.4770354100999262
0.75,1.0,0.02358121830168826,0.6220661061300692,0.3333527572208302,10355.0,0.02435187101386563,202257.0,0.47564812898613434
0.75,2.0,0.02971275105714188,0.643940392532739,0.5922375670933447,6621.0,0.026446974236069502,118554.0,0.4735530257639305
0.75,3.0,0.05846426108424782,0.7671451945983266,0.7159644931336557,5526.0,0.032595616166859354,79240.0,0.46740438383314065
0.75,4.0,0.09360776256490963,0.8833910928104053,0.8456966377250743,3938.0,0.047427497832161096,37578.0,0.4525725021678389
0.75,5.0,0.10402919547910772,0.9374033878135068,0.9173125109259367,2202.0,0.06914960432106519,13720.0,0.4308503956789348
0.75,6.0,0.09069674028959315,0.9442377962635257,0.9439685592007718,995.0,0.09433067880166857,4279.0,0.40566932119833143
0.75,7.0,0.06361986924096272,0.9153362849492365,0.9523920517452363,330.0,0.12295081967213115,1012.0,0.3770491803278688
0.75,8.0,0.035010855943183906,0.8315886975248671,0.9540981165303757,89.0,0.13363363363363365,244.0,0.3663663663663664
0.75,9.0,0.01737181967136172,0.7506379819048737,0.9544606957636501,23.0,0.12921348314606743,66.0,0.3707865168539326
0.75,10.0,0.009357449105253407,0.5957836372802447,0.9545545778865515,7.0,0.125,21.0,0.375
0.75,11.0,0.008057328032289498,0.5294552444363587,0.9545934256615453,3.0,0.1875,5.0,0.3125
0.75,12.0,0.00039238361660846074,0.3406915095974722,0.954596662976128,0.0,0.0,1.0,0.5
0.75,13.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.75,14.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.75,15.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.75,16.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.75,17.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.75,18.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.75,19.0,0,0,0.9545999002907108,0.0,0,0.0,0
0.8,0.0,0.01256967222927648,0.48585589874785595,0.07661752423129965,13702.0,0.022942892257820376,284909.0,0.47705710774217963
0.8,1.0,0.023130080160833934,0.6124747273571987,0.3309215339691419,10376.0,0.024310583163468524,203029.0,0.4756894168365315
