,iter,error_v1,error_v2
count,50.0,50.0,50.0
mean,49.0,0.017719277486867767,0.03701771426327916
std,29.154759474226502,0.06504379875121429,0.09325679976638014
min,0.0,1.4661671876581295e-10,1.6125383250908951e-09
25%,24.5,2.6062767388701502e-08,2.866467230244752e-07
50%,49.0,4.5708388314302795e-06,5.026352950632251e-05
75%,73.5,0.0007985673149115,0.008512535758521025
max,98.0,0.3899989956631511,0.4572713563607475
