iter,error_autovalor
0,19.58648740677106
1,22.308515096521937
2,25.510130115995036
3,27.70581375913044
4,28.83931731662303
5,29.210294896700745
6,29.08817458642815
7,28.655558962569202
8,28.02622968726448
9,27.269522418050684
10,26.42784264227671
11,25.527632302829105
12,24.58598070691655
13,23.614572062763152
14,22.62202905018195
15,21.615286642004865
16,20.60037592532874
17,19.58284793487858
18,18.567978611241962
19,17.56084256101787
20,16.566310828844927
21,15.589007938847907
22,14.633250995135493
23,13.70298563089121
24,12.801728265289716
25,11.932520415644918
26,11.097898122231177
27,10.299877548084297
28,9.539956340599117
29,8.819129289031729
30,8.137916119785123
31,7.496398888146873
32,6.89426629971442
33,6.330862373421528
34,5.805237086381188
35,5.316196966614719
36,4.86235397671782
37,4.442171421179738
38,4.054005983099609
39,3.6961453322454147
40,3.366841033852957
41,3.0643367212155965
42,2.7868916751686825
43,2.532800083872072
44,2.3004063429074577
45,2.0881168057701274
46,1.894408415681582
47,1.7178346482185631
48,1.5570291767304205
49,1.4107076441507829
50,1.2776678898725393
51,1.1567889421857274
52,1.0470290478743998
53,0.9474229727151524
54,0.8570787710125316
55,0.7751741896771449
56,0.700952843079488
57,0.6337202691144199
58,0.572839954524806
59,0.517729398372559
60,0.4678562663555432
61,0.42273467515030205
62,0.3819216348079948
63,0.34501366813714185
64,0.3116436186855971
65,0.2814776531184151
66,0.2542124592403141
67,0.229572637418471
68,0.20730828053845585
69,0.18719273571556627
70,0.16902053964723862
71,0.15260551861733873
72,0.13777904365262117
73,0.12438843110560782
74,0.11229547893187686
75,0.10137512908872637
76,0.09151424676269926
77,0.08261050750192211
78,0.07457138375521666
79,0.06731322278416485
80,0.06076040839768737
81,0.05484459944842612
82,0.04950403851646712
83,0.044682924681794134
84,0.04033084474492554
85,0.0364022576946752
86,0.03285602763740414
87,0.029655000795017372
88,0.026765622545539713
89,0.02415759082370883
90,0.021803542516693142
91,0.019678769785393513
92,0.017760963513815398
93,0.016029981339357846
94,0.014467637947490175
95,0.013057515525261465
96,0.011784792461210003
97,0.010636088556037038
98,0.009599325169684647
99,0.008663598877156176
100,0.007819067339617902
