,iter,error_autovalor
count,101.0,101.0
mean,50.0,6.979040564977531
std,29.300170647967224,9.616345891426471
min,0.0,0.0078190673396179
25%,25.0,0.1013751290887263
50%,50.0,1.277667889872539
75%,75.0,11.932520415644918
max,100.0,29.210294896700745
