,test,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,49.5,1.82601301470912e-07,7.613914591836899e-08,2.684097677452257e-10,2.3539868720945377e-10,-908.06,915.28
std,29.011491975882016,1.5029501554116038e-06,5.129499844343504e-07,1.706857771984561e-09,1.4848364404071994e-09,96.38997181588276,69.09868217837352
min,0.0,3.990585639712663e-12,3.849809360190193e-12,9.414691248821327e-13,2.273736754432321e-13,-1000.0,661.0000000000003
25%,24.75,7.474465490986404e-12,6.530848778441012e-12,1.908695423935569e-12,3.410605131648481e-13,-976.5,883.0000000000001
50%,49.5,1.3362644324388384e-11,8.802403250740554e-12,2.1955770534987096e-12,4.547473508864641e-13,-942.9999999999999,930.9999999999997
75%,74.25,5.608973008275342e-11,1.948829986275769e-11,2.451372438372346e-12,4.547473508864641e-13,-856.0000000000003,965.5
max,99.0,1.4953005504025896e-05,4.787230388991759e-06,1.4489955901808573e-08,1.1910174180229662e-08,-555.9999999999999,995.0
