,test,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
count,300.0,300.0,300.0,300.0,300.0,300.0,300.0
mean,49.5,0.002197518394241274,0.00036895596026668954,3.4336998016174885e-07,2.050431623482988e-07,3911.592223043517,7649582.982805335
std,28.914300774835606,0.03363135329182153,0.0058271295810761225,5.049503678000642e-06,3.309493474348857e-06,13155.819573577066,10921834.069022829
min,0.0,0.0,0.0,0.0,0.0,-1000.0,449.0
25%,24.75,0.0,0.0,0.0,0.0,-954.0000000000001,896.5
50%,49.5,2.001654831468302e-11,1.011957184715584e-11,2.1955770534987096e-12,4.547473508864641e-13,-858.9999999999998,969.0
75%,74.25,4.125654835540615e-06,7.972718876203544e-07,1.305730705780661e-07,2.9802322387695312e-08,1049.3320950309344,21289126.149763532
max,99.0,0.5812700489794587,0.1008253745426834,8.750162487558555e-05,5.733477883040905e-05,111836.43929841412,30578279.460515745
