,test,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,49.5,0.006592305286819292,0.00110672444705109,1.0298415307175012e-06,6.14894088357687e-07,13545.196669130552,22946938.868416004
std,29.011491975882016,0.05819613183777418,0.010086009366247838,8.734618203172989e-06,5.729310147358711e-06,19547.134257494614,2389553.875662021
min,0.0,5.206763944443082e-07,1.8286755221197384e-07,7.624817044415978e-08,1.1175870895385742e-08,1.593061289109236,18422729.058213983
25%,24.75,4.017095278641136e-06,6.71426590770352e-07,1.3072913418454848e-07,2.9802322387695312e-08,1071.1130902761706,21422788.28810451
50%,49.5,2.8592308560781987e-05,3.574042722220838e-06,1.4883653420838527e-07,3.725290298461914e-08,4001.428328673595,23055152.88025944
75%,74.25,7.948947699887299e-05,9.916085517147623e-06,1.7538832963737152e-07,5.21540641784668e-08,17718.793072298224,24163942.35983938
max,99.0,0.5812700489794587,0.1008253745426834,8.750162487558555e-05,5.733477883040905e-05,111836.43929841412,30578279.460515745
