,iter,error_autovalor,error_n2_autovectores
count,101.0,101.0,101.0
mean,50.0,3.1701474929447535,0.03101613104345599
std,29.300170647967224,7.169704763837878,0.08104908216236983
min,0.0,1.2741477206645868e-07,8.38254354817991e-10
25%,25.0,2.472257959595936e-05,1.626485823802426e-07
50%,50.0,0.0047963921718512,3.155646015251534e-05
75%,75.0,0.909194662694432,0.006027188914718
max,100.0,27.06496538836066,0.4506564680436493
