autovalor,error_inf_avect,error_1_avect
18.1366959730044,7.688294445529209e-15,1.0306339115473406e-13
17.05517119099512,6.5156213757688874e-15,9.958006641497263e-14
13.306122312766787,5.88418203051333e-15,8.886814895081585e-14
10.921067530133556,4.440892098500626e-15,5.344336084789347e-14
9.777240952801476,3.552713678800501e-15,5.4604758215059945e-14
6.996197033107126,6.800116025829084e-15,4.351683943748519e-14
6.515544628031587,3.0531133177191805e-15,2.555312732244186e-14
6.331592223669626,3.733992282040077e-15,3.032871263158876e-14
5.618033988749896,8.881784197001252e-16,1.7763568394002505e-15
5.378595077669424,1.700029006457271e-15,2.1463733568261034e-14
4.580792668029518,5.509481759702339e-15,3.7914116290949096e-14
4.48000767102998,4.891920202254596e-15,3.630776235219457e-14
4.275876820141816,2.1094237467877974e-15,2.1246622083220812e-14
3.472187399726446,5.495603971894525e-15,2.378132413216605e-14
3.381966011250105,6.661338147750939e-16,2.220446049250313e-15
3.376154092871075,3.00454106039183e-15,2.2625998297165495e-14
3.242067477421744,4.107825191113079e-15,2.7225617593718e-14
3.013962966251619,8.49147141490647e-15,3.3143111735980946e-14
2.749157175276657,5.016820292524926e-15,2.7151891845988985e-14
2.487091734464515,5.082739784612045e-15,3.2138354477684317e-14
2.0,0.0,0.0
2.0,0.0,0.0
2.0,3.469446951953614e-18,6.938893903907228e-18
2.0,2.7755575615628914e-17,5.551115123125783e-17
2.0,1.0269562977782698e-15,2.0539125955565396e-15
1.955050447337369,3.809452753245068e-15,3.2870841465415523e-14
1.826055209825464,9.256484467812243e-15,3.758104938356155e-14
1.761898621144032,4.08006961549745e-15,2.586949751637313e-14
1.599283075429581,5.773159728050814e-15,2.7917772260632745e-14
1.259404110121709,6.022959908591474e-15,3.472916398905568e-14
1.125010718244667,6.369904603786836e-15,3.9468428525424315e-14
0.909247663803315,7.854827899222983e-15,5.2633244984612304e-14
0.468525226701391,3.5541014575812824e-14,1.0367141173306393e-13
nan,nan,nan
